SALON 2023 TEST
EXPOSANTS;PROFESSION;NOM EXPOSANT;ADRESSE;VILLE CP;MAIL;TELEPHONE;;;
FAURE JARDINAGE GRENIER;MOTOCULTURE;GREGOIRE FAURE;95 ROUTE DE LA BLACHETTE;26140 ANNEYRON ;accueilann@faure-jardinage.fr;04 75 31 51 93;;;
FAUCHERY;IMPRIMERIE;TARDY LAURENT;34 ROUTE MARSEILLE RN7;38150 CHANAS;pao@fauchery.com;04 74 84 26 13;;;
FLAM’N BUCHES;FUMISTE RAMONEUR;POULLENARD CLEMENT;ZA CHEMIN DU CHAMP GODINET;38150 ANJOU;fnb38150@gmail.com;06 61 66 00 98;;;
FGS ACCESS;ASCENSEUR MONTE ESCALIER;GONCALVES FABIO;6 RUE PAUL BOURRET;26600 TAIN L’HERMITAGE;administratif@fgsaccess.fr;04 75 03 83 41;;;
FRANCE PLOMBERIE CHAUFFAGE FPC;PLOMBERIE CHAUFFAGE;ASSIM BASSAM;131 IMPASSE DE L AVENIR;38550 AUBERIVES/ VAREZ;contactfrancepc@gmail.com;04 74 53 32 40;;;
GEO-OIKOS;CHAUFFAGE CLIMATISATION;BONIN AYMERIC;5 A RUE DES AIRS;26330 CHATEAUNEUF DE GALAURE;communication.geo.oikos@gmail.com;04 75 31 96 25;;;
GOURMANEL BIEN ETRE ET PISCINE ;PISCINE;DUCHAMP STEPHANE;158 RUE DES GLIERES ZA CHAMP ROLLAND OUEST;38150 SALAISE /SANNE;contact@piscinesgourmanel.fr;04 74 86 07 32;;;
GROUPE CDF;CHAUFFAGISTE;PERRIER OLIVIER;8 RUE DES ROSES;69960 CORBAS;contact.groupecdf@gmail.com;09 87 57 45 54;;;
GROUPE ISOLA ENERGIES;ENERGIES RENOUVELABLES;GEOFFRAY FLORES;IMPASSE DU RENIVET ;38150 SALAISE /SANNE;ela.groupeisolaenergie@gmail.com;04 58 47 02 68;;;
GARAPON;MEUBLES ;GARAPON BERNARD;124 RUE DE LA GARE;38980 VIRIVILLE;bernard.garapon@sfr.fr;06 84 22 68 65;;;
GABET FREDERIC AVOCAT;AVOCAT;FREDERIC GABET;65 AVENUE DU DOCTEUR L STEINBERG ;26140 ST RAMBERT D ALBON;cabinet@cabinetgabet.com;04 75 31 02 60;;;
GIBERT SAS ;TRAITEMENT CHARPENTE;GIBERT OLIVIER;ZAE DE CHAMPAGNE 23 RUE LOUIS GILLOT;07300 TOURNON;contact@etsgibert.fr;04 75 07 23 60;;;
INFO ECONOMIE ENERGIE;RENOVATION ECONOMIE ENERGIE;KATHY PECH ;20 IMPASSE DENIS PAPIN ZA FONT GRAVE;26740 MONTBOUCHER/ JABRON;cathyflores4007@aol.com;04 75 49 61 97;;;
IDEALES OUVERTURES;MENUISERIE;MELANIE HARTMANN;955 CHEMIN DE SAMBILLOT;38121 CHONAS L AMBALLAN;idealesouvertures@gmail.com;06 41 91 25 75;;;
ID’RENO;RENOVATION HABITAT ;CLOUET DAMIEN;2871 AVENUE DE L’EUROPE; 69140 RILLEUX LA PAPE;damien.clouet@idreno.fr;04 81 65 19 00                  06 59  85 06 81;;;
IM2E;ELECTRICITE PANNEAU SOLAIRE;BELDICO D;155 RUE DU PORT DE JONC;26210 MANTHES;d.beldico@im2e-energies.com;04 75 03 54 55;;;
ISO TECH;ISOLATION  MAISON;ALBANO MICKAEL;675 L ROUTE D’ ANNONAY;07340 TALENCIEUX;iso.tech@orange.fr;06 86 56 29 91;;;
ISOTHERME RAVALEMENT TECHNIQUE;RAVALEMENT;SEBTI SOFIANE;442 ROUTE DE LA PIPARDIERE;38150 CHANAS;isotherm2019@gmail.com;06 56 82 63 07;;;
ITH ;RENO HABITAT;DARLAY CEDRIC;6 RUE DU VIVARAIS;26540 MOURS ST EUSEBE;ith@orange.fr;04 75 71 27 04;;;
JGB PROTECTION;ALARME;TARDY TEDDY;10 ALLEE DES DES LILAS ;26240 LAVEYRON;contact@jgbprotection.fr;06 07 78 10 99;;;
LA BATTERIE WATT;AUTONOMIE ELECTRIQUE;KASDI RAYANE;689 CHEMIN DE LA SELLE;07690 ST JULIEN VOCANCE;labatteriewatt@gmail.com;07 61 03 05 30;;;
LES MAISONS DU GROUPE;CONSTRUCTIONS INDIVIDUELLES;JULIE BARBATO;10 RUE DU DOCTEUR ROYBARD PAC DE MARENTON ;07100 ANNONAY;communication@lesmaisons du groupe.com;04 75 33 21 01;;;
L’IMMO DU BOIS;AGENCE IMMOBILIERE;CARINE DUBOIS;13 ROUTE DE VALENCE;38150 ROUSSILLON;limmodubois@gmail.com;06 99 31 89 41                   09 86 70 84 88;;;
MAISONS DES COMPAGNONS;CONSTRUCTIONS INDIVIDUELLES;MELINAND S et BRICHET L;376 RN7 PLATEAU DE LOUZE ;38150 ROUSSILLON;j.four@egcc-sas.com;07 82 56 31 97;;;
MD PRODUCTION;PORTAILS CLOTURES;MILAN DAVID;53 ROUTE DE LANGONAND;42400 ST CHAMOND;mdproductions@outlook.fr;06 74 50 84 18;;;
MIKIT CHANAS PROPRILOGIS;CONSTRUCTIONS INDIVIDUELLES;EDDY MAGNE;144 RUE DU FUTUR;38150 CHANAS;e.magne@mikit.fr;06 35 29 33 08;;;
MOQUET ENTREPRISE BOVE RESEAU DANIEL MOQUET;AMENAGEMENT EXTERIEUR;BOVE DELPHINE;48 RUE YVES FARGE ;38150 ROUSSILLON;caroline.benimelis@daniel-moquet.com;06 69 55 97 92;;;
OLAGNON ENERGIES ;POMPE A CHALEUR;OLAGNON PATRICK;32 AVENUE DU MARECHAL FOCH;TOURNON SUR RHONE;contact@olagnonenergies.fr;04 75 06 10 39;;;
ROUSSEY PHILIPPE;RENOVATION BAINS MONTE ESCALIER;ROUSSEY PHILIPPE;120 ROUTE DE SABLONS;38270 PRIMARETTE;philing.spa.douche@gmail.com;06 84 39 19 12;;;
RS MOTOCULTURE;MOTOCULTURE;RODOLPHE SERVE;325 IMPASSE DE FOURMILIERE ZA GONNETS NORD;26390 HAUTERIVES;contact@rs-motoculture.com;04 75 68 80 73;;;
REVOL HERVE;CHARPENTE;REVOL HERVE;81 RUE DE MARSEILLE;26140 ST RAMBERT D ALBON;herverevol12@gmail.com;06 87 33 50 31;;;
RELOOK FACADES;FACADIER ;CETINTAS HUSEYIN;2 QUAI BERTRAND;07100 ANNONAY;contact@relook-facades.fr;06 49 88 62 37;;;
SEM BOIS;MENUISERIE;LANCERON JENNIFER;8 RUE DU RENIVET;38150 SALAISE /SANNE;sembois-menuiserie@sembois.fr;04 74 29 58 96;;;
SOUD’INOX;SERRURERIE METALERIE;CASTILLO THOMAS;ZA LE FLACHER;07340 FELINES;contact@soud-inox.com;04 75 33 26 38;;;
SUD EST FACADES SARL;FACADIER;UYUMAZ;200 ZA LES BRUYERES;38150 AGNIN;sud-est-facades@orange.fr;04 74 29 80 04;;;
SONNIER BOIS ;MENUISERIE;ANTOINE MARRANT;ZAC DE JUSTICES;38150 SALAISE /SANNE;antoine.marrant@sonnier.fr;04 37 02 29 92;;;
SOLUDO;PISCINE COQUE;BILLON JEAN LUC;112 ROUTE DE VALENCE ;26600 MERCUROL-VEAUNES;lucdebillon@orange.fr;06 80 82 24 83;;;
TC BATIMENT;ENTREPRISE GENERALE DU BATIMENT;CONJARD THIERRY;13 RUE PIERRE SEMARD ;38150 SALAISE /SANNE;tcbatiment2017@gmail.com;06 77 74 23 15;;;
TOUT POUR L EAU   GE3M SOLIDPOOL;PISCINE;GE3M;7 ZA EMCOPARC ;38550 SABLONS;commercial@solidpoolsablons.com;04 37 04 69 01;;;
VALLON ENTREPRISE;MENUISERIE PLATRERIE PEINTURE;POIX ROMAIN;1 IMPASSE RUE NEUVE ;26140 ST RAMBERT D ALBON;contact@vallon-ent.fr;07 82 01 31 36;;;
VERANDALUX;MENUISIER VERANDIER;FRANCE MAXIME;73 B RUE DU PONT BIAIS ;26240 LAVEYRON;verandaluxrhonealpes@gmail.com;04 75 23 30 70;;;
VERANDIER    VERANDISSIME;VERANDA PERGOLA;COLSON ERIC;113 MONTEE LUCIEN MAGNAT;38780 PONT EVEQUE;ecolson@tryba.fr;06 98 97 74 74;;;
